"No.","Time","Source","Destination","Protocol","Length","Info"
"43","0.057431","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1026 Ack=11138 Win=4066 Len=0 TSval=378892440 TSecr=4019643812"
"44","0.066270","192.168.1.16","13.32.14.97","TLSv1.2","155","Application Data"
"45","0.069371","192.168.1.16","13.32.14.97","TLSv1.2","156","Application Data"
"46","0.069435","192.168.1.16","13.32.14.97","TLSv1.2","159","Application Data"
"47","0.069444","192.168.1.16","13.32.14.97","TLSv1.2","160","Application Data"
"48","0.069472","192.168.1.16","13.32.14.97","TLSv1.2","160","Application Data"
"49","0.069498","192.168.1.16","13.32.14.97","TLSv1.2","166","Application Data"
"50","0.069525","192.168.1.16","13.32.14.97","TLSv1.2","155","Application Data"
"51","0.069551","192.168.1.16","13.32.14.97","TLSv1.2","166","Application Data"
"52","0.071312","192.168.1.16","130.211.190.72","TCP","78","59331  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=378892452 TSecr=0 SACK_PERM=1"
"53","0.074803","13.32.14.97","192.168.1.16","TLSv1.2","543","Application Data"
"54","0.074870","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=11615 Win=4081 Len=0 TSval=378892455 TSecr=4019643814"
"55","0.114464","13.32.14.97","192.168.1.16","TLSv1.2","544","Application Data"
"56","0.114651","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=12093 Win=4081 Len=0 TSval=378892493 TSecr=4019643818"
"57","0.115396","13.32.14.97","192.168.1.16","TCP","66","443  >  59312 [ACK] Seq=12093 Ack=1298 Win=126 Len=0 TSval=4019643818 TSecr=378892451"
"58","0.116470","13.32.14.97","192.168.1.16","TLSv1.2","546","Application Data"
"59","0.116552","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=12573 Win=4081 Len=0 TSval=378892494 TSecr=4019643818"
"60","0.117525","13.32.14.97","192.168.1.16","TCP","66","443  >  59312 [ACK] Seq=12573 Ack=1775 Win=126 Len=0 TSval=4019643818 TSecr=378892451"
"61","0.117530","13.32.14.97","192.168.1.16","TLSv1.2","543","Application Data"
"62","0.117609","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=13050 Win=4081 Len=0 TSval=378892495 TSecr=4019643818"
"63","0.119722","13.32.14.97","192.168.1.16","TLSv1.2","546","Application Data"
"64","0.119784","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=13530 Win=4081 Len=0 TSval=378892497 TSecr=4019643818"
"65","0.121860","13.32.14.97","192.168.1.16","TLSv1.2","545","Application Data"
"66","0.121864","13.32.14.97","192.168.1.16","TLSv1.2","1026","Application Data, Application Data"
"67","0.121926","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=14009 Win=4081 Len=0 TSval=378892499 TSecr=4019643818"
"68","0.121926","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=14969 Win=4051 Len=0 TSval=378892499 TSecr=4019643819"
"69","0.128362","13.32.14.97","192.168.1.16","TLSv1.2","542","Application Data"
"70","0.128435","192.168.1.16","13.32.14.97","TCP","66","59312  >  443 [ACK] Seq=1775 Ack=15445 Win=4081 Len=0 TSval=378892505 TSecr=4019643819"
"71","0.162563","130.211.190.72","192.168.1.16","TLSv1.2","264","Application Data"
"72","0.162698","192.168.1.16","130.211.190.72","TCP","66","59315  >  443 [ACK] Seq=452 Ack=199 Win=4089 Len=0 TSval=378892539 TSecr=649457741"
"73","0.175168","192.168.1.16","172.217.169.110","TLSv1.2","349","Application Data"
"74","0.218484","172.217.169.110","192.168.1.16","TCP","66","443  >  59318 [ACK] Seq=1 Ack=284 Win=183 Len=0 TSval=98832033 TSecr=378892550"
"75","0.218497","172.217.169.110","192.168.1.16","TLSv1.2","186","Application Data"
"76","0.218499","172.217.169.110","192.168.1.16","TLSv1.2","139","Application Data"
"77","0.218501","172.217.169.110","192.168.1.16","TLSv1.2","112","Application Data"
"78","0.218737","192.168.1.16","172.217.169.110","TCP","66","59318  >  443 [ACK] Seq=284 Ack=121 Win=4092 Len=0 TSval=378892592 TSecr=98832034"
"79","0.218738","192.168.1.16","172.217.169.110","TCP","66","59318  >  443 [ACK] Seq=284 Ack=194 Win=4089 Len=0 TSval=378892592 TSecr=98832034"
"80","0.218739","192.168.1.16","172.217.169.110","TCP","66","59318  >  443 [ACK] Seq=284 Ack=240 Win=4088 Len=0 TSval=378892592 TSecr=98832034"
"81","0.219425","192.168.1.16","172.217.169.110","TLSv1.2","112","Application Data"
"82","0.227023","130.211.190.72","192.168.1.16","TCP","74","443  >  59331 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1420 WS=64 SACK_PERM=1 TSval=3408835338 TSecr=378892452"
"83","0.227152","192.168.1.16","130.211.190.72","TCP","66","59331  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0 TSval=378892600 TSecr=3408835338"
"84","0.227852","192.168.1.16","130.211.190.72","TLSv1.2","275","Client Hello"
"85","0.303767","172.217.169.110","192.168.1.16","TCP","66","443  >  59318 [ACK] Seq=240 Ack=330 Win=183 Len=0 TSval=98832078 TSecr=378892592"
"86","0.385587","130.211.190.72","192.168.1.16","TLSv1.2","1474","Server Hello"
"87","0.386599","130.211.190.72","192.168.1.16","TLSv1.2","1474","Certificate [TCP segment of a reassembled PDU]"
"88","0.386611","130.211.190.72","192.168.1.16","TLSv1.2","190","Server Key Exchange, Server Hello Done"
"89","0.386756","192.168.1.16","130.211.190.72","TCP","66","59331  >  443 [ACK] Seq=210 Ack=2817 Win=129664 Len=0 TSval=378892758 TSecr=3408835496"
"90","0.386810","192.168.1.16","130.211.190.72","TCP","66","59331  >  443 [ACK] Seq=210 Ack=2941 Win=129536 Len=0 TSval=378892758 TSecr=3408835496"
"91","0.392946","192.168.1.16","192.168.1.5","DNS","91","Standard query 0x0f01 A isrg.trustid.ocsp.identrust.com"
"92","0.400830","192.168.1.16","13.32.14.195","TLSv1.2","125","Application Data"
"93","0.445313","13.32.14.195","192.168.1.16","TCP","66","443  >  59321 [ACK] Seq=1 Ack=60 Win=122 Len=0 TSval=3553153746 TSecr=378892772"
"94","0.448397","13.32.14.195","192.168.1.16","TLSv1.2","1056","Application Data"
"95","0.448402","13.32.14.195","192.168.1.16","TLSv1.2","104","Application Data"
"96","0.448481","192.168.1.16","13.32.14.195","TCP","66","59321  >  443 [ACK] Seq=60 Ack=991 Win=4065 Len=0 TSval=378892819 TSecr=3553153746"
"97","0.448482","192.168.1.16","13.32.14.195","TCP","66","59321  >  443 [ACK] Seq=60 Ack=1029 Win=4063 Len=0 TSval=378892819 TSecr=3553153746"
"98","0.449392","192.168.1.5","192.168.1.16","DNS","213","Standard query response 0x0f01 A isrg.trustid.ocsp.identrust.com CNAME isrg.trustid.ocsp.identrust.com.edgesuite.net CNAME a279.dscq.akamai.net A 93.186.137.136 A 93.186.137.137"
"99","0.450953","192.168.1.16","93.186.137.136","TCP","78","59332  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=378892821 TSecr=0 SACK_PERM=1"
"100","0.453898","93.186.137.136","192.168.1.16","TCP","74","80  >  59332 [SYN, ACK] Seq=0 Ack=1 Win=65228 Len=0 MSS=1460 WS=128 SACK_PERM=1 TSval=3435094918 TSecr=378892821"
"101","0.453966","192.168.1.16","93.186.137.136","TCP","66","59332  >  80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=378892824 TSecr=3435094918"
"102","0.454338","192.168.1.16","93.186.137.136","HTTP","354","GET /MFYwVKADAgEAME0wSzBJMAkGBSsOAwIaBQAEFG%2F0aE1DEtJIYoGcwCs9Rywdii%2BmBBTEp7Gkeyxx%2BtvhS5B1%2F8QVYIWJEAIQCgFBQgAAAVOFc2oLheynCA%3D%3D HTTP/1.1 "
"103","0.456080","93.186.137.136","192.168.1.16","TCP","66","80  >  59332 [ACK] Seq=1 Ack=289 Win=66304 Len=0 TSval=3435094919 TSecr=378892824"
"104","0.553873","93.186.137.136","192.168.1.16","TCP","1514","80  >  59332 [ACK] Seq=1 Ack=289 Win=66560 Len=1448 TSval=3435094928 TSecr=378892824 [TCP segment of a reassembled PDU]"
"105","0.553882","93.186.137.136","192.168.1.16","OCSP","505","Response"
"106","0.553883","93.186.137.136","192.168.1.16","TCP","66","80  >  59332 [FIN, ACK] Seq=1888 Ack=289 Win=66560 Len=0 TSval=3435094928 TSecr=378892824"
"107","0.554027","192.168.1.16","93.186.137.136","TCP","66","59332  >  80 [ACK] Seq=289 Ack=1888 Win=129856 Len=0 TSval=378892922 TSecr=3435094928"
"108","0.554028","192.168.1.16","93.186.137.136","TCP","66","59332  >  80 [ACK] Seq=289 Ack=1889 Win=129856 Len=0 TSval=378892922 TSecr=3435094928"
"109","0.555185","192.168.1.16","93.186.137.136","TCP","66","59332  >  80 [FIN, ACK] Seq=289 Ack=1889 Win=131072 Len=0 TSval=378892923 TSecr=3435094928"
"110","0.557921","93.186.137.136","192.168.1.16","TCP","66","80  >  59332 [ACK] Seq=1889 Ack=290 Win=66560 Len=0 TSval=3435094929 TSecr=378892923"
"111","0.562259","192.168.1.16","130.211.190.72","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"112","0.717839","130.211.190.72","192.168.1.16","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"113","0.717944","192.168.1.16","130.211.190.72","TCP","66","59331  >  443 [ACK] Seq=336 Ack=2992 Win=131008 Len=0 TSval=378893083 TSecr=3408835829"
"114","0.726436","192.168.1.16","130.211.190.72","TLSv1.2","517","Application Data"
"115","0.883429","130.211.190.72","192.168.1.16","TLSv1.2","264","Application Data"
"116","0.883613","192.168.1.16","130.211.190.72","TCP","66","59331  >  443 [ACK] Seq=787 Ack=3190 Win=130848 Len=0 TSval=378893245 TSecr=3408835994"
"117","0.893555","192.168.1.16","13.32.14.97","TLSv1.2","241","Application Data"
"118","0.940001","13.32.14.97","192.168.1.16","TLSv1.2","544","Application Data"
"119","0.940095","192.168.1.16","13.32.14.97","TCP","66","59311  >  443 [ACK] Seq=176 Ack=479 Win=4081 Len=0 TSval=378893301 TSecr=3553159101"
"120","1.057733","192.168.1.16","169.60.79.13","TLSv1.2","104","Application Data"
"121","1.182482","169.60.79.13","192.168.1.16","TLSv1.2","111","Application Data"
"122","1.182592","192.168.1.16","169.60.79.13","TCP","66","59277  >  443 [ACK] Seq=39 Ack=46 Win=4094 Len=0 TSval=378893542 TSecr=2869555474"
